Date,Time,Transaction,Item
2016-10-30,9:58:12,1,Bread
2016-10-30,10:05:36,2,Scandinavian
2016-10-30,10:05:37,2,Scandinavian
2016-10-30,10:08:01,3,Hot chocolate
2016-10-30,10:08:02,3,Cookies
2016-10-30,10:08:47,4,Muffin
2016-10-30,10:13:10,5,Coffee
2016-10-30,10:13:11,5,Pastry
2016-10-30,10:13:12,5,Bread
2016-10-30,10:17:05,6,Medialuna
2016-10-30,10:17:06,6,Pastry
2016-10-30,10:17:07,6,Muffin
2016-10-30,10:19:25,7,Medialuna
2016-10-30,10:19:26,7,Pastry
2016-10-30,10:19:27,7,Coffee
2016-10-30,10:19:28,7,Tea
2016-10-30,10:21:08,8,Pastry
2016-10-30,10:22:17,9,Bread
2016-10-30,10:22:18,9,Muffin
2016-10-30,10:26:18,10,Scandinavian
2016-10-30,10:26:19,10,Medialuna
2016-10-30,10:27:43,11,Bread
2016-10-30,10:27:44,11,Bread
2016-10-30,10:27:45,11,NONE
2016-10-30,10:30:39,12,Jam
2016-10-30,10:30:40,12,Coffee
2016-10-30,10:30:41,12,Tartine
2016-10-30,10:30:42,12,Pastry
2016-10-30,10:30:43,12,Tea
2016-10-30,10:31:54,13,Basket
2016-10-30,10:31:55,13,Coffee
2016-10-30,10:33:18,14,Bread
2016-10-30,10:33:19,14,Medialuna
2016-10-30,10:33:20,14,Pastry
2016-10-30,10:35:11,15,NONE
2016-10-30,10:35:12,15,Mineral water
2016-10-30,10:35:13,15,Scandinavian
2016-10-30,10:37:46,16,Bread
2016-10-30,10:37:47,16,Medialuna
2016-10-30,10:37:48,16,Coffee
2016-10-30,10:38:45,17,Hot chocolate
2016-10-30,10:42:38,18,Farm House
2016-10-30,10:43:51,19,Farm House
2016-10-30,10:46:06,20,Bread
2016-10-30,10:50:14,21,Coffee
2016-10-30,10:50:15,21,Coffee
2016-10-30,10:50:16,21,Medialuna
2016-10-30,10:53:03,22,Jam
2016-10-30,10:54:38,23,Scandinavian
2016-10-30,10:54:39,23,Muffin
2016-10-30,10:56:13,25,Scandinavian
2016-10-30,10:57:00,26,Fudge
2016-10-30,11:03:12,27,Scandinavian
2016-10-30,11:04:18,28,Coffee
2016-10-30,11:04:19,28,Bread
2016-10-30,11:06:26,29,Bread
2016-10-30,11:06:27,29,Jam
2016-10-30,11:06:28,29,NONE
2016-10-30,11:08:18,30,Bread
2016-10-30,11:13:56,31,Basket
2016-10-30,11:17:16,32,Scandinavian
2016-10-30,11:17:17,32,Muffin
2016-10-30,11:26:48,34,Coffee
2016-10-30,11:26:49,34,Muffin
2016-10-30,11:28:39,35,Muffin
2016-10-30,11:28:40,35,Scandinavian
2016-10-30,11:34:15,36,Tea
2016-10-30,11:34:16,36,Bread
2016-10-30,11:38:19,37,Coffee
2016-10-30,11:38:20,37,Bread
2016-10-30,11:38:21,37,NONE
2016-10-30,11:43:52,38,Bread
2016-10-30,11:43:53,38,Tea
2016-10-30,11:45:45,39,Scandinavian
2016-10-30,11:57:06,40,Juice
2016-10-30,11:57:07,40,Tartine
2016-10-30,11:57:08,40,Coffee
2016-10-30,11:57:09,40,Muffin
2016-10-30,11:58:25,41,Scandinavian
2016-10-30,11:59:05,42,Bread
2016-10-30,11:59:06,42,Tea
2016-10-30,12:01:44,43,Scandinavian
2016-10-30,12:01:45,43,Fudge
2016-10-30,12:07:11,44,Coffee
2016-10-30,12:07:12,44,Medialuna
2016-10-30,12:10:02,45,Medialuna
2016-10-30,12:10:31,46,Coffee
2016-10-30,12:16:57,47,Ella's Kitchen Pouches
2016-10-30,12:16:58,47,Juice
2016-10-30,12:16:59,47,Bread
2016-10-30,12:17:00,47,Muffin
2016-10-30,12:17:01,47,Jam
